# TRACKC++ version(Aug 25 2014 16:45:52)
# Accelerator Physics Group - LNLS
# Campinas BRAZIL
# contact: xresende@gmail.com
# [closed-orbit]
# ebeam_energy[eV] : 3000000000.000000
# harmonic_number  : 864
# cavity_state     : on
# radiation_state  : on
# chamber_state    : on

# idx fam_name        s[m]                   rx[m]                  ry[m]                  de                     px[rad]                py[rad]                dl[m]                 
# --- --------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ----------------------
00813 hcm             +1.471578700000005E+02 +2.500385161782747E-06 +0.000000000000000E+00 +5.031444530684303E-05 +2.889437701766506E-06 +0.000000000000000E+00 -1.898955766306018E-02
00814 d12             +1.471578700000005E+02 +2.500385161782747E-06 +0.000000000000000E+00 +5.031444530684303E-05 +2.889437701766506E-06 +0.000000000000000E+00 -1.898955766306018E-02
00815 sd2             +1.472778700000005E+02 +2.847100241217827E-06 +0.000000000000000E+00 +5.031444530684303E-05 +2.889437701766506E-06 +0.000000000000000E+00 -1.898955766255930E-02
00816 d17             +1.474278700000005E+02 +3.280502370941955E-06 +0.000000000000000E+00 +5.031444530684303E-05 +2.889553567375077E-06 +0.000000000000000E+00 -1.898955766193317E-02
00817 qf2             +1.475978700000005E+02 +3.771701762970773E-06 +0.000000000000000E+00 +5.031444530684303E-05 +2.889553567375077E-06 +0.000000000000000E+00 -1.898955766122353E-02
00818 d20             +1.478478700000005E+02 +4.080601989303970E-06 +0.000000000000000E+00 +5.031444528975636E-05 -4.615511784510363E-07 +0.000000000000000E+00 -1.898955766091491E-02
00819 sf1             +1.480478700000004E+02 +3.988296397918390E-06 +0.000000000000000E+00 +5.031444528975636E-05 -4.615511784510363E-07 +0.000000000000000E+00 -1.898955766089360E-02
00820 d11             +1.481978700000004E+02 +3.919034525950409E-06 +0.000000000000000E+00 +5.031444528975636E-05 -4.619843831421921E-07 +0.000000000000000E+00 -1.898955766087762E-02
00821 BPM             +1.483078700000005E+02 +3.868218800569803E-06 +0.000000000000000E+00 +5.031444528975636E-05 -4.619843831421921E-07 +0.000000000000000E+00 -1.898955766086588E-02
00822 d12             +1.483078700000005E+02 +3.868218800569803E-06 +0.000000000000000E+00 +5.031444528975636E-05 -4.619843831421921E-07 +0.000000000000000E+00 -1.898955766086588E-02
00823 qf1             +1.484278700000005E+02 +3.812783463790959E-06 +0.000000000000000E+00 +5.031444528975636E-05 -4.619843831421921E-07 +0.000000000000000E+00 -1.898955766085308E-02
00824 d17             +1.486778700000005E+02 +3.421472019612346E-06 +0.000000000000000E+00 +5.031444528260191E-05 -2.629962849260682E-06 +0.000000000000000E+00 -1.898955766049763E-02
00825 sd1             +1.488478700000005E+02 +2.974400829376968E-06 +0.000000000000000E+00 +5.031444528260191E-05 -2.629962849260682E-06 +0.000000000000000E+00 -1.898955765990977E-02
00826 d15             +1.489978700000005E+02 +2.579940021458719E-06 +0.000000000000000E+00 +5.031444528260191E-05 -2.629787505190885E-06 +0.000000000000000E+00 -1.898955765939110E-02
00827 hcm             +1.491478700000005E+02 +2.185491742126453E-06 +0.000000000000000E+00 +5.031444528260191E-05 -2.629787505190885E-06 +0.000000000000000E+00 -1.898955765887247E-02
00828 d12             +1.491478700000005E+02 +2.185491742126453E-06 +0.000000000000000E+00 +5.031444528260191E-05 -2.629787505190885E-06 +0.000000000000000E+00 -1.898955765887247E-02
00829 vcm             +1.492678700000005E+02 +1.869933118660641E-06 +0.000000000000000E+00 +5.031444528260191E-05 -2.629787505190885E-06 +0.000000000000000E+00 -1.898955765845756E-02
00830 d22             +1.492678700000005E+02 +1.869933118660641E-06 +0.000000000000000E+00 +5.031444528260191E-05 -2.629787505190885E-06 +0.000000000000000E+00 -1.898955765845756E-02
00831 BPM             +1.494878700000005E+02 +1.291408975639985E-06 +0.000000000000000E+00 +5.031444528260191E-05 -2.629787505190885E-06 +0.000000000000000E+00 -1.898955765769690E-02
00832 d10             +1.494878700000005E+02 +1.291408975639985E-06 +0.000000000000000E+00 +5.031444528260191E-05 -2.629787505190885E-06 +0.000000000000000E+00 -1.898955765769690E-02
00833 b1              +1.495878700000005E+02 +1.028443456085141E-06 +0.000000000000000E+00 +5.031444528260191E-05 -2.629787505190885E-06 +0.000000000000000E+00 -1.898955765735115E-02
00834 mb1             +1.500019100000005E+02 +2.392754998179488E-07 +0.000000000000000E+00 +4.977926913723852E-05 -1.228235975758201E-06 +0.000000000000000E+00 -1.898954351727586E-02
00835 b1              +1.500019100000005E+02 +2.392754998179488E-07 +0.000000000000000E+00 +4.977926913723852E-05 -1.228235975758201E-06 +0.000000000000000E+00 -1.898954351727586E-02
00836 d17             +1.504159500000005E+02 -1.309447726987917E-08 +0.000000000000000E+00 +4.924408621227836E-05 -6.547346525214431E-09 +0.000000000000000E+00 -1.898954180234059E-02
00837 sa1             +1.505859500000005E+02 -1.420747137078817E-08 +0.000000000000000E+00 +4.924408621227836E-05 -6.547346525214431E-09 +0.000000000000000E+00 -1.898954180234058E-02
00838 d17             +1.507359500000005E+02 -1.518952485161921E-08 +0.000000000000000E+00 +4.924408621227836E-05 -6.547344648434192E-09 +0.000000000000000E+00 -1.898954180234058E-02
00839 qad             +1.509059500000004E+02 -1.630251863349127E-08 +0.000000000000000E+00 +4.924408621227836E-05 -6.547344648434192E-09 +0.000000000000000E+00 -1.898954180234058E-02
00840 d23             +1.510459500000004E+02 -1.766544982237457E-08 +0.000000000000000E+00 +4.924408621227829E-05 -1.301081446560705E-08 +0.000000000000000E+00 -1.898954180234058E-02
00841 qaf             +1.512759500000004E+02 -2.065778979441663E-08 +0.000000000000000E+00 +4.924408621227829E-05 -1.301081446560705E-08 +0.000000000000000E+00 -1.898954180234056E-02
00842 d12             +1.516159500000004E+02 -2.191257110767964E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810653042753406E-09 +0.000000000000000E+00 -1.898954180234055E-02
00843 BPM             +1.517359500000004E+02 -2.121532707769436E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810653042753406E-09 +0.000000000000000E+00 -1.898954180234055E-02
00844 d12             +1.517359500000004E+02 -2.121532707769436E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810653042753406E-09 +0.000000000000000E+00 -1.898954180234055E-02
00845 sa2             +1.518559500000004E+02 -2.051808304770907E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810653042753406E-09 +0.000000000000000E+00 -1.898954180234055E-02
00846 d12             +1.520059500000004E+02 -1.964652812416641E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234055E-02
00847 hcm             +1.521259500000004E+02 -1.894928427388419E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234054E-02
00848 d12             +1.521259500000004E+02 -1.894928427388419E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234054E-02
00849 vcm             +1.522459500000004E+02 -1.825204042360198E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234054E-02
00850 crhv            +1.522459500000004E+02 -1.825204042360198E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234054E-02
00851 dia             +1.522459500000004E+02 -1.825204042360198E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234054E-02
00852 id_enda         +1.545188000000005E+02 -5.045951380985909E-09 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234050E-02
00853 dia             +1.545188000000005E+02 -5.045951380985909E-09 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234050E-02
00854 mia             +1.555188000000005E+02 +7.644140380325361E-10 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234048E-02
00855 dia             +1.555188000000005E+02 +7.644140380325361E-10 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234048E-02
00856 id_enda         +1.565188000000005E+02 +6.574779457050981E-09 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234047E-02
00857 dia             +1.565188000000005E+02 +6.574779457050981E-09 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234047E-02
00858 crhv            +1.587916500000005E+02 +1.978086849966705E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234043E-02
00859 vcm             +1.587916500000005E+02 +1.978086849966705E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234043E-02
00860 d12             +1.587916500000005E+02 +1.978086849966705E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234043E-02
00861 hcm             +1.589116500000005E+02 +2.047811234994927E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234043E-02
00862 d12             +1.589116500000005E+02 +2.047811234994927E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234043E-02
00863 sa2             +1.590316500000005E+02 +2.117535620023148E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810651545154064E-09 +0.000000000000000E+00 -1.898954180234042E-02
00864 d12             +1.591816500000005E+02 +2.204691088476932E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810649810893728E-09 +0.000000000000000E+00 -1.898954180234042E-02
00865 BPM             +1.593016500000005E+02 +2.274415452695054E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810649810893728E-09 +0.000000000000000E+00 -1.898954180234042E-02
00866 d12             +1.593016500000005E+02 +2.274415452695054E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810649810893728E-09 +0.000000000000000E+00 -1.898954180234042E-02
00867 qaf             +1.594216500000005E+02 +2.344139816913176E-08 +0.000000000000000E+00 +4.924408621227789E-05 +5.810649810893728E-09 +0.000000000000000E+00 -1.898954180234041E-02
00868 d23             +1.597616500000005E+02 +2.196787767724569E-08 +0.000000000000000E+00 +4.924408621227747E-05 -1.426597608115231E-08 +0.000000000000000E+00 -1.898954180234040E-02
00869 qad             +1.599916500000005E+02 +1.868686474906416E-08 +0.000000000000000E+00 +4.924408621227747E-05 -1.426597608115231E-08 +0.000000000000000E+00 -1.898954180234038E-02
00870 d17             +1.601316500000005E+02 +1.717410005665873E-08 +0.000000000000000E+00 +4.924408621227734E-05 -7.442304423024018E-09 +0.000000000000000E+00 -1.898954180234038E-02
00871 sa1             +1.603016500000004E+02 +1.590897060488844E-08 +0.000000000000000E+00 +4.924408621227734E-05 -7.442304423024018E-09 +0.000000000000000E+00 -1.898954180234038E-02
00872 d17             +1.604516500000005E+02 +1.479268006940247E-08 +0.000000000000000E+00 +4.924408621227734E-05 -7.442302375821690E-09 +0.000000000000000E+00 -1.898954180234038E-02
00873 b1              +1.606216500000004E+02 +1.352755096563944E-08 +0.000000000000000E+00 +4.924408621227734E-05 -7.442302375821690E-09 +0.000000000000000E+00 -1.898954180234037E-02
00874 mb1             +1.610356900000004E+02 +2.599888549576232E-07 +0.000000000000000E+00 +4.870890420085038E-05 +1.209030763363141E-06 +0.000000000000000E+00 -1.898953951164404E-02
00875 b1              +1.610356900000004E+02 +2.599888549576232E-07 +0.000000000000000E+00 +4.870890420085038E-05 +1.209030763363141E-06 +0.000000000000000E+00 -1.898953951164404E-02
00876 d32             +1.614497300000004E+02 +1.035218864095095E-06 +0.000000000000000E+00 +4.817372998696183E-05 +2.576623191234246E-06 +0.000000000000000E+00 -1.898952501154271E-02
00877 vcm             +1.617697300000004E+02 +1.859698567027464E-06 +0.000000000000000E+00 +4.817372998696183E-05 +2.576623191234246E-06 +0.000000000000000E+00 -1.898952501048058E-02
00878 d12             +1.617697300000004E+02 +1.859698567027464E-06 +0.000000000000000E+00 +4.817372998696183E-05 +2.576623191234246E-06 +0.000000000000000E+00 -1.898952501048058E-02
00879 hcm             +1.618897300000004E+02 +2.168878455627103E-06 +0.000000000000000E+00 +4.817372998696183E-05 +2.576623191234246E-06 +0.000000000000000E+00 -1.898952501008228E-02
00880 d15             +1.618897300000004E+02 +2.168878455627103E-06 +0.000000000000000E+00 +4.817372998696183E-05 +2.576623191234246E-06 +0.000000000000000E+00 -1.898952501008228E-02
00881 sd1             +1.620397300000004E+02 +2.555353316376651E-06 +0.000000000000000E+00 +4.817372998696183E-05 +2.576623191234246E-06 +0.000000000000000E+00 -1.898952500958440E-02
00882 d17             +1.621897300000005E+02 +2.941840454932868E-06 +0.000000000000000E+00 +4.817372998696183E-05 +2.576794939982045E-06 +0.000000000000000E+00 -1.898952500908649E-02
00883 qf1             +1.623597300000004E+02 +3.379874492996341E-06 +0.000000000000000E+00 +4.817372998696183E-05 +2.576794939982045E-06 +0.000000000000000E+00 -1.898952500852216E-02
00884 d12             +1.626097300000004E+02 +3.761260872929920E-06 +0.000000000000000E+00 +4.817372997999059E-05 +4.367228692184317E-07 +0.000000000000000E+00 -1.898952500818330E-02
00885 BPM             +1.627297300000004E+02 +3.813665092729397E-06 +0.000000000000000E+00 +4.817372997999059E-05 +4.367228692184317E-07 +0.000000000000000E+00 -1.898952500817186E-02
00886 d11             +1.627297300000004E+02 +3.813665092729397E-06 +0.000000000000000E+00 +4.817372997999059E-05 +4.367228692184317E-07 +0.000000000000000E+00 -1.898952500817186E-02
00887 sf1             +1.628397300000005E+02 +3.861702294212251E-06 +0.000000000000000E+00 +4.817372997999059E-05 +4.367228692184317E-07 +0.000000000000000E+00 -1.898952500816137E-02
00888 d20             +1.629897300000005E+02 +3.927176222968328E-06 +0.000000000000000E+00 +4.817372997999059E-05 +4.363025470586028E-07 +0.000000000000000E+00 -1.898952500814709E-02
00889 qf2             +1.631897300000005E+02 +4.014432528918326E-06 +0.000000000000000E+00 +4.817372997999059E-05 +4.363025470586028E-07 +0.000000000000000E+00 -1.898952500812805E-02
00890 d17             +1.634397300000005E+02 +3.706253346000341E-06 +0.000000000000000E+00 +4.817372996347174E-05 -2.858632147824987E-06 +0.000000000000000E+00 -1.898952500782423E-02
00891 sd2             +1.636097300000004E+02 +3.220309290607795E-06 +0.000000000000000E+00 +4.817372996347174E-05 -2.858632147824987E-06 +0.000000000000000E+00 -1.898952500712970E-02
00892 d12             +1.637597300000004E+02 +2.791543885668163E-06 +0.000000000000000E+00 +4.817372996347174E-05 -2.858520615122949E-06 +0.000000000000000E+00 -1.898952500651689E-02
00893 hcm             +1.638797300000004E+02 +2.448537935729417E-06 +0.000000000000000E+00 +4.817372996347174E-05 -2.858520615122949E-06 +0.000000000000000E+00 -1.898952500602667E-02
00894 d10             +1.638797300000004E+02 +2.448537935729417E-06 +0.000000000000000E+00 +4.817372996347174E-05 -2.858520615122949E-06 +0.000000000000000E+00 -1.898952500602667E-02
00895 BPM             +1.639797300000004E+02 +2.162699644113796E-06 +0.000000000000000E+00 +4.817372996347174E-05 -2.858520615122949E-06 +0.000000000000000E+00 -1.898952500561816E-02
00896 d10             +1.639797300000004E+02 +2.162699644113796E-06 +0.000000000000000E+00 +4.817372996347174E-05 -2.858520615122949E-06 +0.000000000000000E+00 -1.898952500561816E-02
00897 b2              +1.640797300000004E+02 +1.876861352498174E-06 +0.000000000000000E+00 +4.817372996347174E-05 -2.858520615122949E-06 +0.000000000000000E+00 -1.898952500520964E-02
00898 mb2             +1.646938610000004E+02 +8.600622088219419E-07 +0.000000000000000E+00 +4.737994032030373E-05 -5.420487835278533E-07 +0.000000000000000E+00 -1.898948021728576E-02
00899 b2              +1.646938610000004E+02 +8.600622088219419E-07 +0.000000000000000E+00 +4.737994032030373E-05 -5.420487835278533E-07 +0.000000000000000E+00 -1.898948021728576E-02
00900 d18             +1.653079920000004E+02 +1.172233562239010E-06 +0.000000000000000E+00 +4.658614467845159E-05 +1.581151779516527E-06 +0.000000000000000E+00 -1.898944769668629E-02
00901 vcm             +1.654879920000004E+02 +1.456827624411830E-06 +0.000000000000000E+00 +4.658614467845159E-05 +1.581151779516527E-06 +0.000000000000000E+00 -1.898944769646130E-02
00902 d26             +1.654879920000004E+02 +1.456827624411830E-06 +0.000000000000000E+00 +4.658614467845159E-05 +1.581151779516527E-06 +0.000000000000000E+00 -1.898944769646130E-02
00903 sd3             +1.657479920000004E+02 +1.867907936439237E-06 +0.000000000000000E+00 +4.658614467845159E-05 +1.581151779516527E-06 +0.000000000000000E+00 -1.898944769613633E-02
00904 d17             +1.658979920000004E+02 +2.105075841690072E-06 +0.000000000000000E+00 +4.658614467845159E-05 +1.581237688519305E-06 +0.000000000000000E+00 -1.898944769594884E-02
00905 qf3             +1.660679920000004E+02 +2.373873726481204E-06 +0.000000000000000E+00 +4.658614467845159E-05 +1.581237688519305E-06 +0.000000000000000E+00 -1.898944769573633E-02
00906 d12             +1.663179920000004E+02 +2.531723505801176E-06 +0.000000000000000E+00 +4.658614467284394E-05 -3.387073463918936E-07 +0.000000000000000E+00 -1.898944769564784E-02
00907 BPM             +1.664379920000004E+02 +2.491080517634275E-06 +0.000000000000000E+00 +4.658614467284394E-05 -3.387073463918936E-07 +0.000000000000000E+00 -1.898944769564096E-02
00908 d11             +1.664379920000004E+02 +2.491080517634275E-06 +0.000000000000000E+00 +4.658614467284394E-05 -3.387073463918936E-07 +0.000000000000000E+00 -1.898944769564096E-02
00909 sf2             +1.665479920000004E+02 +2.453824445147950E-06 +0.000000000000000E+00 +4.658614467284394E-05 -3.387073463918936E-07 +0.000000000000000E+00 -1.898944769563465E-02
00910 d20             +1.666979920000004E+02 +2.403009563265263E-06 +0.000000000000000E+00 +4.658614467284394E-05 -3.388549461612292E-07 +0.000000000000000E+00 -1.898944769562605E-02
00911 qf4             +1.668979920000004E+02 +2.335241731075051E-06 +0.000000000000000E+00 +4.658614467284394E-05 -3.388549461612292E-07 +0.000000000000000E+00 -1.898944769561457E-02
00912 d15             +1.671479920000004E+02 +2.058087287763646E-06 +0.000000000000000E+00 +4.658614466937998E-05 -1.847127446610206E-06 +0.000000000000000E+00 -1.898944769543711E-02
00913 hcm             +1.672979920000004E+02 +1.781031077752796E-06 +0.000000000000000E+00 +4.658614466937998E-05 -1.847127446610206E-06 +0.000000000000000E+00 -1.898944769518124E-02
00914 crhv            +1.672979920000004E+02 +1.781031077752796E-06 +0.000000000000000E+00 +4.658614466937998E-05 -1.847127446610206E-06 +0.000000000000000E+00 -1.898944769518124E-02
00915 d12             +1.672979920000004E+02 +1.781031077752796E-06 +0.000000000000000E+00 +4.658614466937998E-05 -1.847127446610206E-06 +0.000000000000000E+00 -1.898944769518124E-02
00916 BPM             +1.674179920000004E+02 +1.559386109744116E-06 +0.000000000000000E+00 +4.658614466937998E-05 -1.847127446610206E-06 +0.000000000000000E+00 -1.898944769497655E-02
00917 d44             +1.674179920000004E+02 +1.559386109744116E-06 +0.000000000000000E+00 +4.658614466937998E-05 -1.847127446610206E-06 +0.000000000000000E+00 -1.898944769497655E-02
00918 b3              +1.678579920000004E+02 +7.466878937122898E-07 +0.000000000000000E+00 +4.658614466937998E-05 -1.847127446610206E-06 +0.000000000000000E+00 -1.898944769422601E-02
00919 mb3             +1.680719975000004E+02 +4.248820257226873E-07 +0.000000000000000E+00 +4.630952766568257E-05 -1.170493340084317E-06 +0.000000000000000E+00 -1.898944053453678E-02
00920 b3              +1.680719975000004E+02 +4.248820257226873E-07 +0.000000000000000E+00 +4.630952766568257E-05 -1.170493340084317E-06 +0.000000000000000E+00 -1.898944053453678E-02
00921 d13             +1.682860030000004E+02 +2.425056601697289E-07 +0.000000000000000E+00 +4.603290895941647E-05 -5.394408695204249E-07 +0.000000000000000E+00 -1.898943651071790E-02
00922 bc              +1.684160030000004E+02 +1.723815751476954E-07 +0.000000000000000E+00 +4.603290895941647E-05 -5.394408695204249E-07 +0.000000000000000E+00 -1.898943651069899E-02
00923 mc              +1.684787000000005E+02 +1.562028028834344E-07 +0.000000000000000E+00 +4.512784868092690E-05 +2.107631553382909E-08 +0.000000000000000E+00 -1.898943453924861E-02
00924 bc              +1.684787000000005E+02 +1.562028028834344E-07 +0.000000000000000E+00 +4.512784868092690E-05 +2.107631553382909E-08 +0.000000000000000E+00 -1.898943453924861E-02
00925 d13             +1.685413970000005E+02 +1.747931677644468E-07 +0.000000000000000E+00 +4.422279004040647E-05 +5.705383359488851E-07 +0.000000000000000E+00 -1.898943255236006E-02
00926 b3              +1.686713970000005E+02 +2.489598715792310E-07 +0.000000000000000E+00 +4.422279004040647E-05 +5.705383359488851E-07 +0.000000000000000E+00 -1.898943255233891E-02
00927 mb3             +1.688854025000005E+02 +4.354762633215177E-07 +0.000000000000000E+00 +4.394617255472421E-05 +1.177044731035499E-06 +0.000000000000000E+00 -1.898942841668604E-02
00928 b3              +1.688854025000005E+02 +4.354762633215177E-07 +0.000000000000000E+00 +4.394617255472421E-05 +1.177044731035499E-06 +0.000000000000000E+00 -1.898942841668604E-02
00929 d44             +1.690994080000005E+02 +7.554705969986517E-07 +0.000000000000000E+00 +4.366955708713388E-05 +1.822443782911654E-06 +0.000000000000000E+00 -1.898942112915315E-02
00930 BPM             +1.695394080000005E+02 +1.557310845471274E-06 +0.000000000000000E+00 +4.366955708713388E-05 +1.822443782911654E-06 +0.000000000000000E+00 -1.898942112842253E-02
00931 d12             +1.695394080000005E+02 +1.557310845471274E-06 +0.000000000000000E+00 +4.366955708713388E-05 +1.822443782911654E-06 +0.000000000000000E+00 -1.898942112842253E-02
00932 hcm             +1.696594080000005E+02 +1.775994549600171E-06 +0.000000000000000E+00 +4.366955708713388E-05 +1.822443782911654E-06 +0.000000000000000E+00 -1.898942112822326E-02
00933 d15             +1.696594080000005E+02 +1.775994549600171E-06 +0.000000000000000E+00 +4.366955708713388E-05 +1.822443782911654E-06 +0.000000000000000E+00 -1.898942112822326E-02
00934 qf4             +1.698094080000005E+02 +2.049349179761292E-06 +0.000000000000000E+00 +4.366955708713388E-05 +1.822443782911654E-06 +0.000000000000000E+00 -1.898942112797419E-02
00935 d20             +1.700594080000005E+02 +2.321235285433661E-06 +0.000000000000000E+00 +4.366955708370582E-05 +3.219796455744585E-07 +0.000000000000000E+00 -1.898942112780275E-02
00936 sf2             +1.702594080000005E+02 +2.385628402529650E-06 +0.000000000000000E+00 +4.366955708370582E-05 +3.219796455744585E-07 +0.000000000000000E+00 -1.898942112779239E-02
00937 d11             +1.704094080000005E+02 +2.433912413025737E-06 +0.000000000000000E+00 +4.366955708370582E-05 +3.218343042343687E-07 +0.000000000000000E+00 -1.898942112778462E-02
00938 BPM             +1.705194080000005E+02 +2.469312640579259E-06 +0.000000000000000E+00 +4.366955708370582E-05 +3.218343042343687E-07 +0.000000000000000E+00 -1.898942112777892E-02
00939 d12             +1.705194080000005E+02 +2.469312640579259E-06 +0.000000000000000E+00 +4.366955708370582E-05 +3.218343042343687E-07 +0.000000000000000E+00 -1.898942112777892E-02
00940 qf3             +1.706394080000005E+02 +2.507931070637648E-06 +0.000000000000000E+00 +4.366955708370582E-05 +3.218343042343687E-07 +0.000000000000000E+00 -1.898942112777270E-02
00941 d17             +1.708894080000005E+02 +2.348250691324021E-06 +0.000000000000000E+00 +4.366955707821054E-05 -1.578770671527225E-06 +0.000000000000000E+00 -1.898942112768384E-02
00942 sd3             +1.710594080000005E+02 +2.079871397169297E-06 +0.000000000000000E+00 +4.366955707821054E-05 -1.578770671527225E-06 +0.000000000000000E+00 -1.898942112747199E-02
00943 d26             +1.712094080000005E+02 +1.843072671891227E-06 +0.000000000000000E+00 +4.366955707821054E-05 -1.578686910707826E-06 +0.000000000000000E+00 -1.898942112728507E-02
00944 vcm             +1.714694080000005E+02 +1.432631998869590E-06 +0.000000000000000E+00 +4.366955707821054E-05 -1.578686910707826E-06 +0.000000000000000E+00 -1.898942112696111E-02
00945 crhv            +1.714694080000005E+02 +1.432631998869590E-06 +0.000000000000000E+00 +4.366955707821054E-05 -1.578686910707826E-06 +0.000000000000000E+00 -1.898942112696111E-02
00946 d18             +1.714694080000005E+02 +1.432631998869590E-06 +0.000000000000000E+00 +4.366955707821054E-05 -1.578686910707826E-06 +0.000000000000000E+00 -1.898942112696111E-02
00947 b2              +1.716494080000005E+02 +1.148480763700764E-06 +0.000000000000000E+00 +4.366955707821054E-05 -1.578686910707826E-06 +0.000000000000000E+00 -1.898942112673683E-02
00948 mb2             +1.722635390000005E+02 +7.955369451018718E-07 +0.000000000000000E+00 +4.287576655346170E-05 +3.941949165467899E-07 +0.000000000000000E+00 -1.898938991271019E-02
00949 b2              +1.722635390000005E+02 +7.955369451018718E-07 +0.000000000000000E+00 +4.287576655346170E-05 +3.941949165467899E-07 +0.000000000000000E+00 -1.898938991271019E-02
00950 d20             +1.728776700000005E+02 +1.650712687894311E-06 +0.000000000000000E+00 +4.208198251393283E-05 +2.457298523621323E-06 +0.000000000000000E+00 -1.898934986837849E-02
00951 hcm             +1.730776700000005E+02 +2.142151711890161E-06 +0.000000000000000E+00 +4.208198251393283E-05 +2.457298523621323E-06 +0.000000000000000E+00 -1.898934986777471E-02
00952 d12             +1.730776700000005E+02 +2.142151711890161E-06 +0.000000000000000E+00 +4.208198251393283E-05 +2.457298523621323E-06 +0.000000000000000E+00 -1.898934986777471E-02
00953 sd2             +1.731976700000005E+02 +2.437015126287671E-06 +0.000000000000000E+00 +4.208198251393283E-05 +2.457298523621323E-06 +0.000000000000000E+00 -1.898934986741244E-02
00954 d17             +1.733476700000005E+02 +2.805600457330632E-06 +0.000000000000000E+00 +4.208198251393283E-05 +2.457383336305796E-06 +0.000000000000000E+00 -1.898934986695958E-02
00955 qf2             +1.735176700000005E+02 +3.223338045276746E-06 +0.000000000000000E+00 +4.208198251393283E-05 +2.457383336305796E-06 +0.000000000000000E+00 -1.898934986644633E-02
00956 d20             +1.737676700000005E+02 +3.484418741563376E-06 +0.000000000000000E+00 +4.208198250146456E-05 -4.052668647897189E-07 +0.000000000000000E+00 -1.898934986622403E-02
00957 sf1             +1.739676700000005E+02 +3.403368779348524E-06 +0.000000000000000E+00 +4.208198250146456E-05 -4.052668647897189E-07 +0.000000000000000E+00 -1.898934986620760E-02
00958 d11             +1.741176700000005E+02 +3.342557519461093E-06 +0.000000000000000E+00 +4.208198250146456E-05 -4.055821597204575E-07 +0.000000000000000E+00 -1.898934986619528E-02
00959 BPM             +1.742276700000005E+02 +3.297945359259988E-06 +0.000000000000000E+00 +4.208198250146456E-05 -4.055821597204575E-07 +0.000000000000000E+00 -1.898934986618624E-02
00960 d12             +1.742276700000005E+02 +3.297945359259988E-06 +0.000000000000000E+00 +4.208198250146456E-05 -4.055821597204575E-07 +0.000000000000000E+00 -1.898934986618624E-02
00961 qf1             +1.743476700000005E+02 +3.249277548131509E-06 +0.000000000000000E+00 +4.208198250146456E-05 -4.055821597204575E-07 +0.000000000000000E+00 -1.898934986617637E-02
00962 d17             +1.745976700000005E+02 +2.912900578583272E-06 +0.000000000000000E+00 +4.208198249627349E-05 -2.252278187210179E-06 +0.000000000000000E+00 -1.898934986591437E-02
00963 sd1             +1.747676700000005E+02 +2.530029398735831E-06 +0.000000000000000E+00 +4.208198249627349E-05 -2.252278187210179E-06 +0.000000000000000E+00 -1.898934986548323E-02
00964 d15             +1.749176700000005E+02 +2.192211845194653E-06 +0.000000000000000E+00 +4.208198249627349E-05 -2.252151441530622E-06 +0.000000000000000E+00 -1.898934986510283E-02
